2014-03-01 23:49:10: restore: table: wp_bp_groups (1/1)
2014-03-01 23:49:12: restore: table: wp_bp_groups_groupmeta (1/1)
2014-03-01 23:49:14: restore: table: wp_bp_groups_members (1/1)
2014-03-01 23:49:16: restore: table: wp_bp_messages_messages (1/1)
2014-03-01 23:49:18: restore: table: wp_bp_messages_notices (1/1)
2014-03-01 23:49:20: restore: table: wp_bp_messages_recipients (1/1)
2014-03-01 23:49:22: restore: table: wp_bp_notifications (1/1)
2014-03-01 23:49:23: restore: table: wp_bp_user_blogs (1/1)
2014-03-01 23:49:25: restore: table: wp_bp_user_blogs_blogmeta (1/1)
2014-03-01 23:49:27: restore: table: wp_bp_xprofile_data (1/1)
2014-03-01 23:49:30: restore: table: wp_bp_xprofile_fields (1/1)
2014-03-01 23:49:32: restore: table: wp_bp_xprofile_groups (1/1)
2014-03-01 23:49:34: restore: table: wp_bp_xprofile_meta (1/1)
2014-03-01 23:49:36: restore: table: wp_chat_log (1/1)
2014-03-01 23:49:39: restore: table: wp_chat_message (1/1)
2014-03-01 23:49:42: restore: table: wp_cunjoshare (1/1)
2014-03-01 23:49:45: restore: table: wp_invitations (1/1)
2014-03-01 23:49:46: restore: table: wp_myboard_images (1/1)
2014-03-01 23:49:48: restore: table: wp_rt_rtm_api (1/1)
2014-03-01 23:49:50: restore: table: wp_rt_rtm_media (1/1)
2014-03-01 23:49:51: restore: table: wp_rt_rtm_media_interaction (1/1)
2014-03-01 23:49:54: restore: table: wp_rt_rtm_media_meta (1/1)
2014-03-01 23:49:57: restore: table: wp_user_activity (1/1)
2014-03-01 23:49:59: restore: table: wp_user_activity_log (1/1)
2014-03-01 23:50:02: restore: finish:
2014-03-01 23:50:02: restore: memory_limit: 256M
